Fecha apil;Fecha riego;Fecha aporte;Mineral_tms;Tcu_%;ASCu_%;CNCu_%;Ac_correa;H(bs)_%;RS_%;Altura_p_m;Sal_sol_kg/ton;Sal_salmu_kg/ton;sal_total_kg/ton;p80_mm;%-100#;HON gpl;RL_m3/t;Rmax;
18-jun-21;02-jul-21;05-jul-21;91.225;0,682;0,286;0,256;1.221;3,5;79,5;3,7;13,3;0,0;13,3;13,4;0,0;9,0;3,38;27,6;
18-jun-21;02-jul-21;05-jul-21;150.679;0,582;0,221;0,236;2.553;4,6;78,5;7,1;14,3;0,0;14,3;13,1;0,0;9,0;2,05;28,0;
18-jun-21;02-jul-21;05-jul-21;138.722;0,561;0,119;0,319;2.441;3,6;78,1;6,4;15,2;0,0;15,2;15,3;0,0;9,0;2,22;26,1;
21-jun-21;06-jul-21;09-jul-21;138.075;0,704;0,109;0,418;2.694;3,3;74,8;6,5;16,3;0,0;16,3;14,7;0,0;9,0;2,23;25,3;
25-jun-21;09-jul-21;12-jul-21;150.895;0,664;0,119;0,434;2.309;3,3;83,3;7,3;9,9;0,0;9,9;13,8;0,0;9,0;2,04;26,5;
27-jun-21;11-jul-21;15-jul-21;148.972;0,616;0,101;0,379;2.802;4,3;77,8;7,2;14,7;0,0;14,7;13,4;0,0;9,0;2,07;26,1;
05-jul-21;19-jul-21;21-jul-21;133.937;0,593;0,082;0,315;1.721;3,8;67,0;6,9;14,4;0,0;14,4;14,1;0,0;9,0;2,30;21,3;
08-jul-21;22-jul-21;24-jul-21;132.252;0,676;0,115;0,416;2.465;4,2;78,5;6,8;15,0;0,0;15,0;14,9;0,0;9,0;2,88;27,2;
10-jul-21;24-jul-21;25-jul-21;122.812;0,626;0,112;0,336;2.318;3,9;71,7;6,3;15,4;0,0;15,4;14,3;0,0;9,0;3,10;25,7;
12-jul-21;26-jul-21;29-jul-21;120.563;0,555;0,104;0,290;2.064;3,8;71,1;6,0;13,8;0,0;13,8;12,9;0,0;9,0;3,16;25,3;
15-jul-21;28-jul-21;30-jul-21;122.261;0,584;0,108;0,370;1.743;4,0;81,9;6,1;5,4;0,0;5,4;14,2;0,0;9,0;3,12;26,8;
17-jul-21;31-jul-21;04-ago-21;124.308;0,650;0,119;0,468;2.250;3,3;90,2;6,4;15,2;0,0;15,2;15,0;0,0;9,0;3,07;30,2;
20-jul-21;03-ago-21;04-ago-21;127.179;0,870;0,135;0,646;2.281;3,1;89,7;6,6;15,3;0,0;15,3;14,9;0,0;9,0;3,00;29,8;
22-jul-21;05-ago-21;07-ago-21;128.682;0,783;0,184;0,500;2.385;3,0;87,5;6,6;13,9;0,0;13,9;15,6;0,0;9,0;2,96;30,2;
24-jul-21;07-ago-21;09-ago-21;122.125;0,710;0,230;0,360;2.274;3,9;83,1;6,3;15,0;0,0;15,0;16,6;0,0;9,0;3,12;29,8;
26-jul-21;09-ago-21;13-ago-21;120.275;0,631;0,167;0,372;2.145;3,9;85,5;6,1;15,7;0,0;15,7;16,4;0,0;9,0;3,17;29,6;
28-jul-21;12-ago-21;16-ago-21;120.944;0,590;0,164;0,321;2.296;4,3;82,3;6,2;15,8;0,0;15,8;16,2;0,0;9,0;3,15;29,2;
30-jul-21;14-ago-21;18-ago-21;120.621;0,608;0,158;0,354;2.034;3,4;84,2;6,1;15,8;0,0;15,8;15,3;0,0;9,0;3,16;29,0;
02-ago-21;17-ago-21;18-ago-21;124.174;0,631;0,223;0,285;2.063;3,5;80,6;6,1;11,6;0,0;11,6;14,5;0,0;9,0;3,07;29,0;
06-ago-21;20-ago-21;23-ago-21;132.720;0,615;0,218;0,275;2.470;4,0;80,3;6,3;11,5;0,0;11,5;14,7;0,0;9,0;2,87;29,6;
08-ago-21;22-ago-21;25-ago-21;131.652;0,624;0,137;0,402;2.695;4,6;86,5;6,3;14,8;0,0;14,8;15,1;0,0;9,0;2,89;30,4;
10-ago-21;24-ago-21;28-ago-21;130.675;0,666;0,121;0,471;2.777;5,4;89,0;6,1;15,1;0,0;15,1;14,6;0,0;9,0;2,92;30,9;
13-ago-21;27-ago-21;28-ago-21;132.813;0,727;0,122;0,551;2.703;5,9;92,7;6,3;16,2;0,0;16,2;14,2;0,0;9,0;2,87;31,6;
16-ago-21;31-ago-21;01-sept-21;133.543;0,715;0,121;0,543;2.558;5,3;92,9;6,3;15,9;0,0;15,9;15,2;0,0;9,0;2,85;31,1;
20-ago-21;03-sept-21;04-sept-21;131.446;0,682;0,122;0,510;2.385;5,7;92,7;6,2;9,5;0,0;9,5;14,9;0,0;9,0;2,90;30,9;
22-ago-21;05-sept-21;06-sept-21;130.569;0,641;0,145;0,423;2.808;5,0;88,5;6,1;15,1;0,0;15,1;14,9;0,0;9,0;2,92;31,3;
24-ago-21;08-sept-21;10-sept-21;128.871;0,602;0,122;0,384;2.688;4,8;84,1;6,0;15,2;0,0;15,2;15,6;0,0;9,0;2,96;29,6;
27-ago-21;12-sept-21;14-sept-21;133.999;0,641;0,110;0,457;2.744;4,6;88,6;6,3;15,6;0,0;15,6;14,4;0,0;9,0;2,84;30,5;
30-ago-21;14-sept-21;16-sept-21;134.053;0,639;0,109;0,462;2.599;4,6;89,4;6,4;14,3;0,0;14,3;15,2;0,0;9,0;2,84;30,2;
01-sept-21;16-sept-21;19-sept-21;132.492;0,610;0,147;0,396;2.702;4,1;89,1;6,4;12,1;0,0;12,1;14,7;0,0;9,0;2,88;31,3;
05-sept-21;19-sept-21;20-sept-21;127.963;0,598;0,119;0,435;2.382;4,6;92,6;6,2;11,8;0,0;11,8;15,1;0,0;9,0;2,98;31,1;
07-sept-21;21-sept-21;24-sept-21;128.789;0,633;0,126;0,471;2.695;4,9;94,3;6,2;14,6;0,0;14,6;15,7;0,0;9,0;2,96;32,2;
10-sept-21;24-sept-21;25-sept-21;131.730;0,698;0,145;0,508;2.505;4,7;93,5;6,4;14,2;0,0;14,2;15,6;0,0;9,0;2,89;31,6;
12-sept-21;26-sept-21;29-sept-21;134.778;0,734;0,154;0,527;2.837;4,7;92,9;6,5;14,4;0,0;14,4;15,6;0,0;9,0;2,83;32,1;
15-sept-21;30-sept-21;01-oct-21;133.730;0,908;0,167;0,560;2.851;4,6;80,1;6,5;13,4;0,0;13,4;14,8;0,0;9,0;2,85;28,7;
18-sept-21;02-oct-21;04-oct-21;129.492;0,727;0,171;0,382;2.508;5,2;76,1;6,3;14,9;0,0;14,9;15,3;0,0;9,0;2,94;27,5;
20-sept-21;04-oct-21;07-oct-21;126.701;0,619;0,284;0,202;2.441;5,5;78,5;6,1;10,0;0,0;10,0;15,3;0,0;9,0;3,01;30,2;
24-sept-21;08-oct-21;10-oct-21;125.680;0,608;0,199;0,303;2.563;4,9;82,5;6,0;13,2;0,0;13,2;14,2;0,0;9,0;3,03;30,5;
26-sept-21;10-oct-21;13-oct-21;129.334;0,611;0,261;0,238;2.776;5,0;81,5;6,2;15,4;0,0;15,4;14,9;0,0;9,0;2,95;31,4;
29-sept-21;14-oct-21;15-oct-21;128.859;0,609;0,152;0,378;2.186;6,8;86,9;6,3;13,6;0,0;13,6;13,7;0,0;9,0;2,96;29,9;
02-oct-21;16-oct-21;19-oct-21;125.407;0,656;0,109;0,452;2.447;6,0;85,4;6,0;14,6;0,0;14,6;14,1;0,0;9,0;3,04;29,3;
04-oct-21;19-oct-21;23-oct-21;124.909;0,726;0,114;0,550;2.568;4,6;91,6;6,0;13,4;0,0;13,4;13,9;0,0;9,0;3,05;31,3;
07-oct-21;21-oct-21;24-oct-21;127.323;0,622;0,097;0,476;2.110;4,3;92,1;6,1;8,0;1,3;9,3;15,5;0,0;9,0;2,99;36,3;
10-oct-21;24-oct-21;27-oct-21;129.337;0,629;0,113;0,453;1.908;4,2;89,9;6,2;13,9;0,5;14,5;14,5;0,0;9,0;2,95;31,7;
12-oct-21;26-oct-21;28-oct-21;128.139;0,670;0,127;0,476;2.204;4,7;90,1;6,2;14,5;0,2;14,8;14,8;0,0;9,0;2,97;31,3;
14-oct-21;29-oct-21;31-oct-21;127.725;0,811;0,162;0,588;2.354;6,0;92,5;6,1;14,8;0,1;14,8;16,8;0,0;9,0;2,98;31,4;
17-oct-21;31-oct-21;06-nov-21;128.879;1,022;0,220;0,750;2.120;5,9;94,9;6,2;14,3;0,0;14,3;14,2;0,0;9,0;2,96;31,6;
20-oct-21;03-nov-21;07-nov-21;128.714;0,746;0,175;0,507;2.239;5,5;91,4;6,2;11,6;2,0;13,6;15,1;0,0;9,0;2,96;40,5;
22-oct-21;05-nov-21;08-nov-21;127.741;0,747;0,165;0,509;2.530;4,8;90,2;6,1;14,2;0,1;14,3;13,2;0,0;9,0;2,98;32,0;
25-oct-21;09-nov-21;10-nov-21;127.740;0,726;0,136;0,530;2.508;4,8;91,8;6,1;16,2;0,8;17,0;14,9;0,0;9,0;2,98;35,6;
28-oct-21;11-nov-21;12-nov-21;128.497;0,695;0,121;0,518;2.000;4,5;92,0;6,2;15,1;0,1;15,3;16,6;0,0;9,0;2,97;30,2;
30-oct-21;13-nov-21;14-nov-21;125.421;0,665;0,117;0,489;2.539;5,4;91,0;6,2;15,7;1,1;16,8;15,8;0,0;9,0;3,04;36,5;
03-nov-21;17-nov-21;18-nov-21;136.767;0,796;0,187;0,546;2.600;4,8;92,0;6,1;13,9;0,8;14,7;13,8;0,0;9,0;2,79;36,2;
06-nov-21;20-nov-21;21-nov-21;136.568;0,901;0,272;0,528;2.215;5,1;88,9;6,2;15,3;0,9;16,2;14,8;0,0;9,0;2,79;35,4;
08-nov-21;22-nov-21;23-nov-21;136.464;0,783;0,230;0,465;2.090;5,4;88,8;6,2;13,4;0,6;14,0;15,8;0,0;9,0;2,79;33,1;
11-nov-21;26-nov-21;27-nov-21;136.216;0,951;0,183;0,698;1.647;5,1;92,6;6,0;15,1;0,7;15,8;15,1;0,0;9,0;2,80;32,3;
13-nov-21;28-nov-21;29-nov-21;134.086;0,868;0,170;0,630;1.876;5,1;92,1;5,8;13,9;0,0;13,9;14,1;0,0;9,0;2,84;29,6;
16-nov-21;30-nov-21;01-dic-21;134.022;0,740;0,132;0,541;1.951;4,8;91,0;5,6;15,1;0,0;15,1;16,7;0,0;9,0;2,84;28,9;
18-nov-21;02-dic-21;04-dic-21;134.282;0,781;0,122;0,602;1.472;4,4;92,6;5,9;15,0;0,0;15,0;15,2;0,0;9,0;2,84;27,7;
21-nov-21;08-dic-21;10-dic-21;134.351;0,942;0,167;0,717;1.984;4,2;93,8;5,8;14,7;0,0;14,7;16,1;0,0;9,0;2,84;29,9;
23-nov-21;09-dic-21;12-dic-21;134.019;1,158;0,214;0,835;1.337;5,0;90,6;5,8;13,4;0,0;13,4;14,5;0,0;9,0;2,84;27,3;
26-nov-21;11-dic-21;12-dic-21;134.208;0,807;0,175;0,511;2.125;5,3;85,0;6,0;14,7;0,0;14,7;15,3;0,0;9,0;2,84;28,5;
29-nov-21;13-dic-21;14-dic-21;134.056;0,702;0,125;0,434;2.130;5,3;79,6;6,1;14,2;0,0;14,2;14,3;0,0;9,0;2,84;26,8;
