compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
CR;ZR-2022;94210.579;22526.248;3215.559;94209.741;22527.138;3219.367;94211.418;22525.358;3211.75;GMCOMP02-598;4;12;8;0.91;0.093;0.808;;0.99;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.926;0.239;0.607;0.012;0.914;0.013;;1.56;0.096;0.053;0.003;0.003;;1.26;;;92.5;98.9;93;6.5;20.6;4.638695;3.1;19.6;0.0196;132;0.132;198;0.198;687.6;0.6876;44835;44.83;21.815;712;0.92;2.157;0.07;0.026;0.013;0.008;0.56;0.11;;1.49;0.07;0.07;0.0005;0.003;;1.44
CR;ZR-2021;94191.656;22543.01;3162.2;94192.433;22542.04;3166.002;94190.879;22543.98;3158.398;GMCOMP02-599;60;68;8;0.77;0.07;0.68;;0.974;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.845;0.218;0.568;0.017;0.93;0.02;;1.4;0.144;0.088;0.002;0.007;;1.38;;;94.4;88.9;94.1;2.6;14.2;4.01825;3;16.3;0.01628;;0.13951;;0.207;;0.3486;48092;48.09;21.28;720;0.97;2.06;0.048;0.009;0.039;0.008;1;0.17;;1.37;0.191;0.053;0.001;0.006;;1.2
CR;ZR-2024;93974.263;22538.642;3205.341;93974.339;22538.706;3209.34;93974.197;22538.57;3201.342;GMCOMP02-600;114;122;8;0.44;0.077;0.345;;0.959;;ZPY;QSE;SSE;CUO;2;2;-99;-99;0.468;0.218;0.209;0.009;0.912;0.019;;1.06;0.459;0.183;0.005;0.056;;1.36;;;92.3;87.7;92;10.2;16.5;3.0237;3.5;22.2;0.02222;;0.306645;;0.425;;0.4718;47383;47.38;21.424;720;0.92;2.584;0.036;0.04;0.003;0.003;1.19;0.08;;1.01;0.151;0.105;0.001;0.012;;1.21
CR;ZR-2024;93973.545;22537.275;3155.367;93973.592;22537.429;3159.364;93973.498;22537.122;3151.371;GMCOMP02-601;164;172;8;0.745;0.083;0.625;;0.95;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.746;0.136;0.554;0.016;0.925;0.021;;1.35;0.151;0.09;0.003;0.007;;2.45;;;96;89.6;95.8;6.8;17.1;3.6861;3.5;19.9;0.01991;;0.130695;;0.181;;0.3345;;48.01;20.621;723;0.94;2.569;0.03;0.006;0.013;0.008;0.63;0.27;;1.33;0.22;0.071;0.001;0.007;;2.23
CR;ZR-2027;94168.517;22637.049;3177.834;94167.942;22637.542;3181.762;94169.09;22636.551;3173.907;GMCOMP02-602;130;138;8;0.66;0.083;0.555;;0.967;;ZPY;QSE;SSE;SSE;2;2;-99;-99;1.107;0.186;0.867;0.016;0.951;0.014;;2.67;0.126;0.071;0.002;0.007;;2.13;;;95.3;97.5;95.4;0.5;17.1;4.9886;3.1;20.7;0.02072;;0.136209;;0.153;;0.3592;48183;48.18;21.65;712;0.92;2.069;0.053;0.042;0.021;0.011;1.19;0.21;;2.57;0.169;0.058;0.001;0.005;;2.19
CR;ZR-2101;93894.181;22578.322;3195.699;93894.32;22579.753;3199.432;93894.041;22576.85;3191.982;GMCOMP02-603;210;218;8;1.074;0.136;0.894;0.01;0.959;0.009;PRG;QSE;SSE;SSE;2;2;-99;-99;1.111;0.171;0.895;0.015;0.959;0.014;;2.36;0.177;0.128;0.002;0.005;;1.71;;;93.7;89.2;93.4;3.5;18.8;4.7995;3;15.5;0.01553;;0.132038;;0.339;;0.3587;49601;49.6;21.444;715;0.97;2.019;0.071;0.024;0.042;0.013;0.93;0.18;;2.33;0.165;0.081;0.001;0.006;;1.73
CR;ZR-2101;93892.469;22560.642;3153.27;93892.63;22562.241;3156.933;93892.308;22559.044;3149.606;GMCOMP02-604;256;264;8;0.777;0.087;0.654;0.015;0.954;0.019;PRG;QSE;SSE;SSE;2;2;-99;-99;0.73;0.075;0.636;0.013;0.974;0.018;;2.01;0.263;0.125;0.002;0.005;;1.78;;;95.9;101.1;96.1;-0.3;11;3.7964;3;14.9;0.01488;;0.132669;;0.37;;0.3602;48731;48.73;21.383;721;0.79;2.359;0.03;0.007;0.017;0.01;0.8;0.33;;2.05;0.211;0.088;0.001;0.006;;1.71
CR;ZR-2101;93891.429;22550.026;3129.559;93891.582;22551.685;3133.196;93891.289;22548.35;3125.93;GMCOMP02-605;282;290;8;0.544;0.115;0.405;0.013;0.956;0.024;PRG;QSE;SSE;SSE;2;2;-99;-99;0.557;0.133;0.383;0.008;0.926;0.014;;0.97;0.165;0.165;0.002;0.009;;1.26;;;93.2;91.2;93.1;7.7;15.5;3.3186;3;15.9;0.01585;;0.142266;;0.456;;0.4144;49166;49.17;21.568;722;0.78;2.221;0.038;0.044;0.007;0.005;1.34;0.13;;1.02;0.165;0.12;0.002;0.006;;1.02
CR;ZR-2108;93867.161;22549.102;3191.666;93867.567;22550.592;3195.356;93866.755;22547.613;3187.976;GMCOMP02-606;226;234;8;1.612;0.457;1.097;0.038;0.964;0.024;PRG;QSE;SSE;SSE;2;2;-99;-99;1.455;0.257;1.163;0.036;0.976;0.025;;2.11;0.13;0.124;0.002;0.005;;2.82;;;91;87.8;90.7;4.3;23.9;5.9237;3.2;15.9;0.0159;;0.134425;;0.189;;0.4713;49952;49.95;21.362;708;1.09;2.136;0.133;0.046;0.06;0.03;0.8;0.23;;2.1;0.153;0.093;0.001;0.006;;2.72
CR;ZR-2118;94120.246;22680.466;3181.242;94120.865;22679.8;3185.137;94119.626;22681.133;3177.347;GMCOMP02-607;128;136;8;0.991;0.223;0.717;0.042;0.949;0.042;PRG;QSE;SSE;SSE;2;2;-99;-99;1.036;0.199;0.774;0.059;0.939;0.057;;5.02;0.172;0.091;0.002;0.004;;4.68;;;84.7;88.5;85.3;0.5;14.7;4.5255;3.2;14.4;0.01436;;0.125334;;0.17;;0.3485;48250;48.25;20.868;717;0.86;2.32;0.16;0.053;0.044;0.052;0.61;0.33;;5.25;0.069;0.074;0.0005;0.005;;4.05
