ID;p80;tms;Acid_ton;Salmu_ton;Sal_ton;Menos100;Mas19mm;Humedad_BS;tms_cdato;P80_PP;Acid_kgpt;Salmu_kgpt;Sal_kgpt;tms_cdato100;Menos100_cdato100;Mas19mm_cdato100;Humedad_BS_cdato100
144927;15.70050907;60105.24014;1307.107986;561;137;15.96858639;6.429319372;5.880665519;60105.24014;943.682868;21.74698883;9.333628793;2.279335374;60105.24014;9.597957195;3.864357848;3.534588132
144928;14.31130123;49007.76988;904.111044;468;105;18.92906834;17.2364884;6.915020233;49007.76988;701.3649574;18.44832047;9.549506153;2.142517406;49007.76988;9.276714251;8.447218572;3.388897203
144929;16.33083344;41148.86509;812.737142;0;383;14.71940814;18.12652313;3.27748563;41148.86509;671.9952618;19.75114357;0;9.307668612;41148.86509;6.056869395;7.458858549;1.34864814
144930;15.26073647;50745.60775;1103.744554;337.390625;277.5;16.89664009;17.99322893;3.772609819;50745.60775;774.4153467;21.7505436;6.648666553;5.468453572;50745.60775;8.574302706;9.130773377;1.914433781
144931;15.08495569;36458.09649;611.064118;442.828125;0;11.18632851;18.59217846;6.256306761;36458.09649;549.9687702;16.76072469;12.14622176;0;36458.09649;4.078322442;6.778354364;2.280930356
144932;15.28644419;49083.51288;940.362946;563.65625;0;15.75239692;18.02004889;6.659705302;49083.51288;750.3123801;19.15842797;11.48361674;0;49083.51288;7.731829771;8.844873017;3.26881731
144933;15.83603287;41917.40542;680.352472;339.546875;92.5;15.48054091;17.96871053;4.536006847;41917.40542;663.8054099;16.23078684;8.100379106;2.206720552;41917.40542;6.489041096;7.532017241;1.90137638
144934;14.50921631;49031.90185;1069.916926;0;798.5;18.09680008;17.41284852;6.510219531;49031.90185;711.4144699;21.82083268;0;16.28531568;49031.90185;8.873205255;8.537850794;3.19208445
144935;16.22055817;750.4480312;0;0;0;;0;;750.4480312;12.17268594;0;0;0;0;0;0;0
144936;0;0.010191819;0;0;0;;0;;0;0;0;0;0;0;0;0;0
144937;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0
144938;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0
144939;15.84987068;5633.29289;81.360072;0;64.5;;0;;5633.29289;89.28696382;14.44272002;0;11.44978634;0;0;0;0
144940;15.51068974;13704.27821;117.758966;93.3125;0;13.07797538;6.135430917;4.21277163;13704.27821;212.5628074;8.592861598;6.809005081;0;13704.27821;1.79224213;0.840816522;0.577329945
144941;15.8;49300.56585;987.822988;515;0;13.43022238;5.820346699;6.149584488;49300.56585;778.9489404;20.03674747;10.44612757;0;49300.56585;6.621175627;2.869463857;3.03177995
144942;15.74925041;49524.8806;1115.76115;606;0;10.89689969;11.28641698;7.797920555;49524.8806;779.9797462;22.5293052;12.23627382;0;49524.8806;5.396676559;5.589584532;3.861910844
144943;15.05460835;51401.53187;1002.595684;372.609375;45;11.87017065;5.327281578;5.236686391;51401.53187;773.8299307;19.50517129;7.248993589;0.87546029;51401.53187;6.101449551;2.738304338;2.691737024
144944;15.48273516;41977.34976;661.666114;466;70;12.83123188;6.041399771;8.006856024;41977.34976;649.9241889;15.76245565;11.10122489;1.667565971;41977.34976;5.386211084;2.536019512;3.361065958
144945;14.7695713;47489.09343;948.759864;513;90;9.584856528;5.291535213;8.296201994;47489.09343;701.3935515;19.97847917;10.80248038;1.895171996;47489.09343;4.551761471;2.512902101;3.939791116
144946;15.58379316;53717.40025;1257.185828;699;0;13.64990459;7.454388205;7.789203085;53717.40025;837.1208547;23.40369828;13.01254336;0;53717.40025;7.332373882;4.004303548;4.184157397
144947;14.73504877;36255.66183;583.521492;374;0;15.87913454;6.956533753;5.365239295;36255.66183;534.2289453;16.09463081;10.3156302;0;36255.66183;5.757085322;2.522137353;1.945203015
144948;;413.0591885;0.900326;0;0;;;;0;0;2.179653728;0;0;0;0;0;0
144949;14.8673172;21284.54449;448.068364;234.7;0;11.81691961;11.06732691;5.987055016;21284.54449;316.4440744;21.05134851;11.02678049;0;21284.54449;2.515177512;2.35563012;1.274317389
144950;15.0130415;27962.59728;515.776554;421;39;13.99351087;6.418129797;5.981489156;27962.59728;419.8036333;18.44523056;15.05582603;1.394720226;27962.59728;3.912949091;1.794675788;1.672579724
144951;13.71543407;25945.56881;165.439496;281;0;10.10891689;4.347921241;5.617044826;25945.56881;355.8547385;6.376406592;10.83036576;0;25945.56881;2.622815987;1.128092897;1.45737423
144952;16.12824059;14116.38212;107.359282;93;0;13.66982492;4.884329559;6.818873668;14116.38212;227.6724071;7.605297239;6.58809029;0;14116.38212;1.929684721;0.689490625;0.962578264
144953;14.24563932;31233.91584;435.849654;280;0;14.64716414;6.05344053;4.895104895;31233.91584;444.9470997;13.95437115;8.964614025;0;31233.91584;4.57488292;1.89072652;1.528932943
