TPH;TSPH;CuTC;CuSC;RS;HumC;CAA;CO3;FeSol                            ;Alsol                          ;TCur;TAgua;HumAglo;HumDin;Alt;p80;M100;M200;diasREfec;Diasreposo;RLix;CuTRip;RecRip;STock;UM100;UM200;UM300;UM430;UM440;UM445;UM450;UM455;UM460;UM470;UM480;UM800;BH;BI;DF;FM;GD;GR;PD;PT;SV;K;KSER;SER;CLO;ARC;ARCSER;CLOSER
100874;98823.7;0.9;0.7;79;2;38.6;0.3;0.3;0.3;12.9;38.7;7.2;4.3;7.2;19.9;12.2;5.9;48.9;4;0.8;0.4;59.1;19.9;0;0;1.2;0;15.6;70.8;1.1;6.5;4.8;0;0;0;0;0;0;0;100;0;0;0;0;99.4;0.6;0;0;0;0;0
102690;100692;0.5;0.3;68.2;1.9;29.1;0.7;0.4;0.4;13;38.2;7.1;4.4;7.9;15;10.5;5.9;60.2;1;1.4;0.1;77.9;14.2;0;0;0.6;0.9;18.2;43.6;11.4;7.8;13.9;0;3.5;0;0;0;0;0;96;0;4;0;0;83.5;16.2;0.3;0;0;0;0
97852;96069;0.6;0.4;75.9;1.8;27.6;0.2;0.4;0.4;11.9;37.9;6.8;4.7;7.6;15.9;11.6;5.9;63.8;1;1.5;0.2;71.6;19.8;0;0;1.6;1.3;28;38.6;13.6;2.9;14.1;0;0;0;0;0;0;0;80.5;0;11.7;7.8;0;71.6;28.4;0;0;0;0;0
105358;103588.1;0.6;0.4;73.8;1.7;28.3;0.2;0.4;0.4;11.7;38.1;6.7;4.8;7.8;15.4;11;5.9;74.1;1;1.7;0.1;77.5;34.2;0;0;4.7;0.9;45.1;43.6;5.2;0.5;0;0;0;0;0;0;0;0;54.1;0;17.3;28.5;0;65.3;34.7;0;0;0;0;0
106370;104170.4;0.6;0.4;69.9;2.1;36.1;0.3;0.5;0.5;11.2;41.7;7.4;4.1;7.8;16.1;10.5;5.9;67.9;2;1.6;0.2;68.9;30.9;0;0;0.6;1;30.6;57.8;3.8;4.8;1.5;0;0;0;0;0;0;0;69.9;0;11.6;18.4;0;89;11;0;0;0;0;0
98020;96235.3;0.6;0.4;69.4;1.8;30.2;0.2;0.4;0.4;11.5;40.6;7;4.5;7.5;17.4;10.4;5.9;66.6;1;1.7;0.1;75.8;26.2;0;0.1;0;0;19.6;62.7;8.2;1.2;8;0;0.2;0.1;0;0;0;0.1;92;0;8;0;0;85.9;14.1;0;0;0;0;0
107244;105135.7;0.7;0.5;80.3;2;28.7;0.2;0.3;0.3;11.4;39.1;7;4.5;7.5;17.5;7.2;5.9;69.2;2;1.6;0.2;73.5;27.2;0;0;0;0;6;69.9;11;1.8;10;0;0.4;0.9;0;0;0;2.1;97.9;0;0;0;0;100;0;0;0;0;0;0
110456;108185.6;0.7;0.5;73;2.1;23.9;0.3;0.2;0.3;12.1;36.6;6.9;4.6;7.6;17.6;5;5.9;67.1;1;1.4;0.2;70.2;43.1;0;0;0;0;0.6;80.4;9.4;5.4;3.3;0;0;1;0;0;0;2.7;97.3;0;0;0;0;100;0;0;0;0;0;0
100826;98897.6;0.7;0.5;70.5;1.9;27.7;0.2;0.3;0.3;11.9;33.2;6.4;5.1;7.6;18.6;9.2;5.9;63.3;2;1.6;0.2;75.8;41.8;0;0;1.4;0.9;19;64.6;4.4;7.9;1.9;0;0;0;0;0;0;0;93.5;0;0;6.5;0;100;0;0;0;0;0;0
100056;98555.3;0.6;0.5;74.8;1.5;22.5;0.2;0.3;0.3;13.9;33.9;6.3;5.2;7.2;16.8;8.4;5.9;63.4;0;1.5;0.2;71.9;31.5;0;0;0;0;8;80.9;5.4;5.7;0;0;0;0;0;0;0;0;99.9;0;0;0.1;0;100;0;0;0;0;0;0
100996;99453.9;0.6;0.4;73.9;1.5;23.5;0.2;0.3;0.3;14.5;35;6.5;5;7.5;17;8.3;5.9;67.5;0;1.6;0.2;72.1;25.7;0;0;0;0;17;58.2;16.4;4.8;3.6;0;0;0;0;0;0;0;89.4;0;0;10.6;0;100;0;0;0;0;0;0
101194;99430.3;0.6;0.4;75;1.7;23.2;0.2;0.3;0.3;11.4;35.5;6.4;5.1;7.5;17.3;9.3;5.9;61.3;2;1.4;0.2;64.8;21.4;0;0;0;0;29.9;38.1;26.6;2.7;2.7;0;0;0;2;0;0;0;89.1;0;0;8.9;0;100;0;0;0;0;0;0
106298;104491.5;0.6;0.4;68.4;1.7;20.9;0.2;0.2;0.3;13.9;36.1;6.7;4.8;7.4;17.7;9.1;5.9;56.1;2;1.3;0.2;62.6;20.4;0;0;0;0;37.1;27.9;27.8;0.8;6.4;0;0;0;21.4;0;0;0;78.6;0;0;0;0;83;17;0;0;0;0;0
108624;106930.9;0.6;0.5;74;1.6;26.7;0.2;0.3;0.3;13.8;32.9;6.2;5.3;7.8;16.9;11.3;5.9;57.1;2;1.3;0.2;70.3;13.9;0;0;0;0;16.2;57.2;18.7;1.2;6.7;0;0;0;44;0;0;0;56;0;0;0;0;56.5;43.5;0;0;0;0;0
104420;102261.4;0.5;0.4;68.7;2.1;20.9;0.2;0.3;0.3;13.9;32.5;6.7;4.8;7.6;18.7;8;5.9;49.2;1;1.1;0.2;69.6;2.1;0;1.9;0;0;4.9;69;21.5;2.5;0.1;0;0;0;37;0;0;0;62.9;0;0;0;0.1;53.3;46.6;0.1;0;0;0;0
102372;100958.2;0.7;0.5;72;1.4;24.8;0.2;0.3;0.3;14.3;35.9;6.4;5.1;7.6;17.8;9.3;5.9;56.4;1;1.3;0.2;73.1;33.6;0;2.4;0;0;8.4;63.2;21;5;0.1;0;0;0;26.8;0;0;0;72;0;0;1.1;0.1;59.9;39.5;0.7;0;0;0;0
104328;101969.1;0.7;0.5;72.8;2.3;36.7;0.5;0.3;0.4;13.9;35.4;7.2;4.3;7.6;17.1;7.6;5.9;57.8;1;1.4;0.2;67.7;58.4;0;0;0;0.4;32.1;47;10.7;8.3;1.5;0;0;0;0.9;0;0;0;66.8;0;0;14.7;17.6;84.7;6.2;1.6;0;0;7.3;0.2
90174;88063.2;0.6;0.4;67.5;2.3;42.1;0.8;0.4;0.4;11.6;24.9;6;5.5;7.2;17;6.7;5.9;55;3;1.5;0.4;30.2;2.8;0;0;1.2;1.1;50.1;38.7;0.4;5.2;3.4;0;0;0;2;0;0;0;20.5;0;0;37;40.5;78.3;4.4;0;0;0;16.8;0.5
102186;100085.1;0.5;0.4;67.9;2.1;24.9;0.3;0.3;0.3;13.1;21.2;5.5;6;7.1;14.7;8.7;5.9;48.6;0;1.2;0.2;55.4;6.5;0.1;0;5.6;0.2;9.4;38.4;0.2;37.2;8.9;0;0;0;2.6;0;0;0;61.7;0;0;31.2;4.5;83.2;8.1;4.6;0;0;2.5;1.6
84482;82551.6;0.6;0.4;68.2;2.3;30;0.4;0.4;0.4;15.7;25.2;6.4;5.1;7;15;8.8;5.9;51.6;0;1.5;0.2;66.6;1.1;0;0;25;0;1.9;39.7;1.2;27.3;5;0;0;0;9.5;0;0;0;70.8;0;0;0.9;18.8;53.5;23.3;0.3;0;0;14.8;8
85624;82015.8;0.5;0.4;71.7;4.2;25;0.3;0.3;0.3;15.8;27.7;8.6;2.9;6.6;16.1;7.2;5.9;52.8;0;1.6;0.2;72.6;5.4;0;0;56.7;0;2.7;28.8;0;11.6;0.2;0;0;0;0.4;0;0;0;99.4;0;0;0;0.2;99;0.2;0.6;0;0;0;0.2
89488;87727.7;0.6;0.5;78.6;2;32.5;0.3;0.2;0.3;15.8;28;6.4;5.1;6.4;17.5;8.5;5.9;56.4;0;1.5;0.2;75.8;12;0;0;21.8;0;9.9;47.9;4.3;7.4;8.7;0;0;0;3.5;0;0;0;93.7;0;0;0;2.8;93.4;0.1;1.9;0;0;3.1;1.5
82528;81226.8;0.7;0.5;75.6;1.6;33.2;0.3;0.2;0.2;15.6;28.4;6;5.5;6.4;15.6;9.3;5.9;59.8;1;1.7;0.2;73.9;13.1;0;0;3.8;0;11.3;56.3;6.4;4.2;17.9;0;0;0;3.7;0;0;0;93.4;0;0;0;2.9;92.2;1;1.9;0;0;3.4;1.5
82432;81282.9;1.3;1.1;81.9;1.4;45.6;0.4;0.2;0.3;15.5;29.1;5.9;5.6;6.4;15.7;7.2;5.9;68.6;0;1.9;0.2;82.4;8;0;0;0;0;6.1;54.6;6.6;0.7;31.9;0;0;0;0;0;0;0;100;0;0;0;0;95.9;4.1;0;0;0;0;0
87732;86386.5;0.6;0.5;81.8;1.5;27.4;0.2;0.3;0.3;16.8;29;6.1;5.4;6.4;17.9;8.2;5.9;66.7;0;1.8;0.1;83.3;33.3;0;0;4.8;0;0.4;72.7;7.6;3.3;11.1;0;0;0;0;0;0;0;100;0;0;0;0;73.4;26.6;0;0;0;0;0
90958;89532.5;0.6;0.5;79.9;1.6;32.4;0.2;0.3;0.3;15.4;29.7;6.1;5.4;5.1;17.7;10.5;5.9;61.8;1;1.6;0.1;76.6;28.8;0;0;1.5;2.5;0.1;72.1;2.4;10.4;11;0;0;0;0;0;0;0;100;0;0;0;0;64;36;0;0;0;0;0
85440;83918.9;0.6;0.5;79.1;1.8;26.4;0.3;0.3;0.3;17.4;35.2;7;4.5;3.4;17.2;14.7;5.9;66.1;1;1.8;0.2;74.2;26.5;1.8;0;0.9;4.8;4;80.5;0;6.1;1.9;0;0;0;0;0;0;0;91.1;0;0;8.9;0;73.3;26.7;0;0;0;0;0
78572;77806.6;0.6;0.5;84.9;1;26.8;0.2;0.3;0.3;17.6;37;6.4;5.1;4.3;17.7;10.5;5.9;74.6;0;2.5;0.1;77;20.7;5.6;0;2.7;0;12.4;69.7;0;3.8;5.7;0;0;0;0;0;0;0;72.8;0;0;27.2;0;72.9;27.1;0;0;0;0;0
95076;93237.1;0.6;0.5;75.8;1.9;30.5;0.3;0.4;0.4;17.7;36;7.3;4.2;6;16.7;12.9;5.9;66.1;1;1.8;0.1;81.2;17;0.4;0;5.3;5.8;17.6;60.4;0.4;7.8;2.3;0;0;0;0;0;0;0;72.7;0;0;27.3;0;94.8;5.2;0;0;0;0;0
70726;69728.4;0.6;0.5;74.6;1.4;29.6;0.3;0.3;0.3;17.8;34.5;6.6;4.9;6;16.1;14;5.9;72.6;0;2.2;0.1;84.8;7.1;0;0;3.2;0;3.6;64.2;2;19.9;7.1;0;0;0;0;0;0;0;100;0;0;0;0;91.2;8.8;0;0;0;0;0
69570;68359.1;0.7;0.5;72.8;1.7;33;0.3;0.4;0.4;17;35.5;7;4.5;6.1;16.9;10.7;5.9;73;0;2.3;0.1;82.2;43.7;0;0;0;0;2;36.8;19.1;4.3;37.8;0;0;0;0;0;0;0;100;0;0;0;0;99.3;0.7;0;0;0;0;0
84292;82960.1;0.7;0.6;75.8;1.6;30;0.3;0.3;0.3;16.7;36.5;6.9;4.6;6.1;17.1;8.6;5.9;72.5;0;2;0.1;82.9;18.4;0;0;0;0;0.6;50;28.2;1.3;20;0;0;0;0;0;0;0;100;0;0;0;0;99.8;0.2;0;0;0;0;0
76712;75395.7;0.7;0.5;68.1;1.7;32.1;0.2;0.3;0.3;16.5;31.2;6.5;5;6.1;18.2;7.8;5.9;72.1;1;2.2;0.1;76.6;0;0;0;0.7;0;21.5;46;17.9;2;11.8;0;0;0;0;0;0;0;84.8;0;0;15.2;0;99.8;0.2;0;0;0;0;0
77462;75807.2;0.4;0.3;64.7;2.1;32.1;0.2;0.3;0.3;17.9;33.2;7.2;4.3;5.7;20.3;5.4;5.9;75.1;0;2.2;0.2;64.8;0;0;0;1.5;0;42.7;36.7;4.1;4;11;0;0;0;0;0;0;0;69.7;0;0;30.3;0;99.6;0.4;0;0;0;0;0
79344;77757.1;0.4;0.3;61.7;2;21;0.2;0.4;0.3;17.6;36;7.4;4.1;5.9;20.3;5.3;5.9;78.8;0;2.2;0.2;66.4;8.8;0;0;0;0;28.6;59.9;1.7;0.1;9.7;0;0;0;0;0;0;0;43;0;0;57;0;100;0;0;0;0;0;0
74116;72633.7;0.5;0.3;62.5;2;31.7;0.3;0.3;0.3;17.9;40;7.8;3.7;5.7;17;9.2;5.9;56.1;3;1.6;0.1;72.2;15.5;0;0;0;0;40.6;50.6;3.4;0;5.4;0;0;0;0;0;0;0;57.1;0;0;42.9;0;100;0;0;0;0;0;0
75284;73778.3;0.5;0.3;63.4;2;31.7;0.3;0.3;0.3;17.9;42.5;8;3.5;5.8;17;9.2;5.9;2;3;2;0.1;74.9;21.9;0;0;0;0;54.6;39.4;5.5;0;0.6;0;0;0;0;0;0;0;74;0;0;26;0;100;0;0;0;0;0;0
76402;74874;0.4;0.3;60.5;2;31.7;0.3;0.3;0.3;17.3;42.1;7.9;3.6;5.7;17;9.2;5.9;78.3;2;2.3;0.1;73.1;12;0;0;0;0;57.5;35.6;1.9;0;5;0;0;0;0;0;0;0;73.3;0;0;26.7;0;100;0;0;0;0;0;0
