Fecha;Valores_no_ajustados;Modelo_inv_Restringidos;Modelo_inv_Fijos
04-08-2024;1417.823398;1400.274553;1411.963917
05-08-2024;1420.491382;1403.290526;1414.981161
06-08-2024;1425.392467;1409.520324;1421.32822
07-08-2024;1395.554351;1416.166868;1414.799948
08-08-2024;1321.922219;1366.008339;1366.572762
09-08-2024;1377.410791;1390.977384;1392.76613
10-08-2024;1402.289236;1420.135645;1418.508038
11-08-2024;1369.561484;1390.663367;1388.748051
12-08-2024;1418.777892;1440.708433;1437.658227
13-08-2024;1399.632053;1415.505794;1413.934153
14-08-2024;1126.269502;1150.668351;1148.49814
15-08-2024;1427.673339;1444.935541;1441.647384
16-08-2024;1304.204305;1332.00582;1333.428931
17-08-2024;1383.233295;1405.179383;1403.661256
18-08-2024;1401.511202;1419.897841;1418.756127
19-08-2024;1375.668055;1414.49126;1410.608669
20-08-2024;1418.149006;1444.036836;1441.312496
21-08-2024;1382.479909;1408.480538;1405.700068
22-08-2024;1337.98451;1376.218673;1373.599804
23-08-2024;1202.19992;1284.833369;1288.19477
24-08-2024;1312.679413;1364.486973;1363.15677
25-08-2024;1277.814239;1339.863507;1337.100838
26-08-2024;1359.671851;1390.913922;1387.395157
27-08-2024;1412.191624;1431.060475;1431.486721
28-08-2024;1393.150011;1434.431945;1423.347856
29-08-2024;1416.759058;1427.442738;1429.397855
30-08-2024;1410.83423;1437.719756;1431.463745
31-08-2024;1405.643327;1430.427112;1425.91044
01-09-2024;1409.594514;1434.238359;1429.753275
02-09-2024;1385.53347;1430.453111;1417.414689
03-09-2024;1404.50668;1417.060895;1418.91022
04-09-2024;1400.532745;1431.752872;1426.701839
05-09-2024;1141.252503;1239.241695;1245.807453
06-09-2024;1311.735511;1350.061891;1349.720898
07-09-2024;1335.840332;1363.185642;1358.53546
08-09-2024;1338.072433;1369.18484;1365.521024
09-09-2024;0.884677983;-1.452723309;0.268558958
10-09-2024;430.0058527;452.805601;453.6456949
11-09-2024;1226.495138;1303.776215;1304.687571
12-09-2024;1418.438829;1439.521638;1436.653594
13-09-2024;1224.584202;1313.779089;1314.519693
14-09-2024;1368.413905;1399.68543;1394.961661
15-09-2024;1268.452779;1332.822408;1318.828352
16-09-2024;1420.321431;1458.394314;1449.375554
17-09-2024;1390.513056;1419.373388;1414.736176
18-09-2024;1418.976518;1458.976528;1448.906133
19-09-2024;1394.644566;1436.207123;1428.243852
20-09-2024;1075.41239;1194.926006;1201.235663
21-09-2024;793.5706314;845.3793266;856.4117903
22-09-2024;1406.992164;1405.725546;1413.674492
23-09-2024;1437.977943;1445.297278;1448.126028
24-09-2024;1428.718494;1444.026849;1443.073352
25-09-2024;1454.126039;1475.800188;1471.909345
26-09-2024;1442.659673;1460.627941;1458.380173
27-09-2024;1453.993777;1474.131786;1470.7106
28-09-2024;1426.640131;1445.292048;1442.875522
29-09-2024;1397.730575;1428.619012;1421.289532
30-09-2024;1213.913859;1246.417487;1239.236967
01-10-2024;1447.567008;1476.030103;1470.196331
02-10-2024;1441.722852;1487.74;1475.207721
03-10-2024;1383.260657;1460.122154;1435.686441
04-10-2024;1384.914583;1401.120659;1405.370538
05-10-2024;1425.764397;1489.850051;1497.387569
06-10-2024;1443.542411;1486.442499;1474.178338
07-10-2024;1412.395568;1452.292486;1443.517463
08-10-2024;1439.027101;1443.027908;1449.765371
09-10-2024;1406.349576;1450.122028;1437.819075
10-10-2024;1425.098288;1442.879633;1442.945243
11-10-2024;714.0284241;733.0746268;730.2755937
12-10-2024;1442.862854;1461.475027;1460.202859
13-10-2024;1044.968149;1130.564477;1135.311071
14-10-2024;1436.743082;1464.803534;1460.789572
15-10-2024;1434.374956;1475.843473;1465.36231
16-10-2024;1431.387982;1467.864904;1460.498194
17-10-2024;1219.081621;1302.903111;1274.925082
18-10-2024;1421.117436;1464.026977;1454.907206
19-10-2024;1441.691688;1471.778342;1466.030357
20-10-2024;1421.579006;1456.979172;1449.80811
21-10-2024;1436.859898;1463.162401;1459.025309
22-10-2024;1444.440779;1482.911769;1473.984054
23-10-2024;1435.828842;1450.569893;1450.408273
24-10-2024;1438.881461;1466.912794;1462.948619
25-10-2024;1339.95286;1362.531114;1364.727592
26-10-2024;1157.069004;1199.130566;1193.94865
27-10-2024;1380.14879;1410.457725;1406.79404
28-10-2024;1453.21983;1488.84905;1482.183413
29-10-2024;1255.924201;1295.426999;1290.252168
30-10-2024;1191.194717;1260.834101;1261.392892
31-10-2024;1334.487505;1365.945628;1369.110446
01-11-2024;1428.473647;1465.616744;1459.981623
02-11-2024;679.4896859;751.0402406;748.0148385
03-11-2024;1053.220257;1071.8548;1073.171238
04-11-2024;1409.42234;1429.448771;1427.213578
