Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
;2;23;18-jun-21;02-jul-21;05-jul-21;46.373;91.225;3.4;0.682;0.286;0.256;1.221;1.214;;13.4;;3.5;79.5;621.8;261.3;233.1;3.7;13.4;13.3;0;13.3;14;3;0;170;3;170;0;9;0.8;22;6;0.02;3.38;28.1;0;28.1
;3;23;18-jun-21;02-jul-21;05-jul-21;88.839;150.679;4.39;0.582;0.221;0.236;2.553;2.148;;13.1;;4.6;78.5;876.5;332.7;354.9;7.1;16.9;14.3;0;14.3;14;3;0;170;3;170;0;9;0.8;22;6;0.012;2.05;28.6;0;28.6
;4;23;18-jun-21;02-jul-21;05-jul-21;80.849;138.722;3.48;0.561;0.119;0.319;2.441;2.11;;15.3;;3.6;78.1;777.8;165;442.3;6.4;17.6;15.2;0;15.2;14;3;0;170;3;170;0;9;0.8;22;6;0.013;2.22;26.7;0;26.7
;5;23;21-jun-21;06-jul-21;09-jul-21;81.841;138.075;3.22;0.704;0.109;0.418;2.694;2.256;;14.7;;3.3;74.8;972.1;150.2;577.4;6.5;19.5;16.3;0;16.3;15;3;0;170;3;170;0;9;0.8;22;6;0.013;2.23;26;0;26
;6;23;25-jun-21;09-jul-21;12-jul-21;92.46;150.895;3.23;0.664;0.119;0.434;2.309;1.493;;13.8;;3.3;83.3;1.002.30;180;655.1;7.3;15.3;9.9;0;9.9;14;3;0;170;3;170;0;9;0.8;22;6;0.012;2.04;27.2;0;27.2
;7;23;27-jun-21;11-jul-21;15-jul-21;90.755;148.972;4.11;0.616;0.101;0.379;2.802;2.192;;13.4;;4.3;77.8;918;149.8;564.7;7.2;18.8;14.7;0;14.7;14;4;0;170;4;170;0;9;0.8;22;6;0.012;2.07;26.7;0;26.7
;8;23;05-jul-21;19-jul-21;21-jul-21;86.776;133.937;3.66;0.593;0.082;0.315;1.721;1.93;;14.1;;3.8;67;794.4;110.1;421.8;6.9;12.9;14.4;0;14.4;14;2;0;170;2;170;0;9;0.8;22;6;0.014;2.3;21.8;0;21.8
;9;23;08-jul-21;22-jul-21;24-jul-21;85.754;132.252;4.04;0.676;0.115;0.416;2.465;1.988;;14.9;;4.2;78.5;894.1;151.7;550.1;6.8;18.6;15;0;15;14;2;0;210;2;210;0;9;0.8;22;6;0.014;2.88;27.8;0;27.8
;10;23;10-jul-21;24-jul-21;25-jul-21;79.605;122.812;3.8;0.626;0.112;0.336;2.318;1.889;;14.3;;3.9;71.7;768.7;137.9;413;6.3;18.9;15.4;0;15.4;14;1;0;210;1;210;0;9;0.8;22;6;0.015;3.1;26.2;0;26.2
;11;23;12-jul-21;26-jul-21;29-jul-21;75.813;120.563;3.7;0.555;0.104;0.29;2.064;1.66;;12.9;;3.8;71.1;668.9;125.9;350;6;17.1;13.8;0;13.8;14;3;0;210;3;210;0;9;0.000078125;22;6;0.015;3.16;28.3;0;28.3
;12;23;15-jul-21;28-jul-21;30-jul-21;77.112;122.261;3.87;0.584;0.108;0.37;1.743;664;;14.2;;4;81.9;713.7;131.5;452.9;6.1;14.3;5.4;0;5.4;13;2;0;210;2;210;0;9;0.000078125;22;6;0.015;3.12;30;0;30
;13;23;17-jul-21;31-jul-21;04-ago-21;80.033;124.308;3.18;0.65;0.119;0.468;2.25;1.894;;15;;3.3;90.2;808.3;147.5;581.7;6.4;18.1;15.2;0;15.2;14;4;0;210;4;210;0;9;0.000078125;22;6;0.015;3.07;33.8;0;33.8
